Facility Name | Tsungubvi | Database Name | Tsungubvi27June2024.sql |File Size: 1805.5435667037964 | Site Id: ZW020447 | Status: Successful
Facility Name | Ruyamuro | Database Name | Ruyamuro04July2024.sql |File Size: 1439.0613050460815 | Site Id: ZW020343 | Status: Successful
Facility Name | Dotito | Database Name | Dotito-08-July-2024.sql |File Size: 1098.6108989715576 | Site Id: ZW020501 | Status: Successful
Facility Name | Ardura | Database Name | Ardura28June2024.sql |File Size: 869.087158203125 | Site Id: ZW020408 | Status: Successful
Facility Name | Nyamahobobo | Database Name | Nyamahobogo-10-July-2024.sql |File Size: 774.0248584747314 | Site Id: ZW020504 | Status: Successful
Facility Name | Henderson Research | Database Name | Henderson25June2024.sql |File Size: 738.3818321228027 | Site Id: ZW020475 | Status: Successful
Facility Name | Chitse Clinic | Database Name | Chitse-09-July-2024.sql |File Size: 730.4977874755859 | Site Id: ZW020534 | Status: Successful
Facility Name | Concession Hosp. | Database Name | Concession26June2024.sql |File Size: 704.56005859375 | Site Id: ZW02040A | Status: Successful
Facility Name | Guruve RHC Clinic | Database Name | GuruveCentre03July2024.sql |File Size: 701.1277770996094 | Site Id: ZW020308 | Status: Successful
Facility Name | Bakasa | Database Name | Bakasa04July2024.sql |File Size: 694.1507892608643 | Site Id: ZW020326 | Status: Successful
Facility Name | Bepura | Database Name | Bepura07July2024.sql |File Size: 689.557861328125 | Site Id: ZW020327 | Status: Successful
Facility Name | Jingamvura | Database Name | Jingamvura-04-July-2024.sql |File Size: 689.1398859024048 | Site Id: ZW020427 | Status: Successful
Facility Name | Nzvimbo | Database Name | Nzvimbo27June2024.sql |File Size: 676.8174629211426 | Site Id: ZW020432 | Status: Successful
Facility Name | Masomo | Database Name | Masomo10July2024.sql |File Size: 674.3501920700073 | Site Id: ZW020802 | Status: Successful
Facility Name | Donje | Database Name | Donje21June2024.sql |File Size: 671.2882766723633 | Site Id: ZW020406 | Status: Successful
Facility Name | Mukumbura | Database Name | Mukumbura-06-July-2024.sql |File Size: 646.7282247543335 | Site Id: ZW020503 | Status: Successful
Facility Name | Dambo | Database Name | Dambo20June2024.sql |File Size: 614.6341648101807 | Site Id: ZW020484 | Status: Successful
Facility Name | Mushumbi RHC  | Database Name | Mushumbi09July2024.sql |File Size: 609.7370510101318 | Site Id: ZW020803 | Status: Successful
Facility Name | Mvurwi | Database Name | Mvurwi-Hosp-03-July-2024.sql |File Size: 607.032657623291 | Site Id: ZW02040E | Status: Successful
Facility Name | Chitsungo | Database Name | Chitsungo08July2024.sql |File Size: 606.6404752731323 | Site Id: ZW02080B | Status: Successful
Facility Name | Mahuwe | Database Name | Mahuwe07July2024.sql |File Size: 606.2545938491821 | Site Id: ZW020833 | Status: Successful
Facility Name | Bare | Database Name | Bare-03-July-2024.sql |File Size: 569.5948514938354 | Site Id: ZW020425 | Status: Successful
Facility Name | Chidodo | Database Name | Chidodo10July2024.sql |File Size: 561.754804611206 | Site Id: ZW020841 | Status: Successful
Facility Name | Kemutamba | Database Name | Kemutamba05July2024.sql |File Size: 550.7108383178711 | Site Id: ZW020346 | Status: Successful
Facility Name | Musengezi Clinic | Database Name | Musengezi10July2024.sql |File Size: 527.7978763580322 | Site Id: ZW020832 | Status: Successful
Facility Name | Tsakare | Database Name | Tsakare-05-July-2024.sql |File Size: 523.8696136474609 | Site Id: ZW020506 | Status: Successful
Facility Name | Kaitano | Database Name | Kaitano-06-July-2024.sql |File Size: 520.4410333633423 | Site Id: ZW020526 | Status: Successful
Facility Name | Holmeden | Database Name | Holme-Eden-03-July-2024.sql |File Size: 494.8501396179199 | Site Id: ZW020446 | Status: Successful
Facility Name | Guruve District Hospital | Database Name | GuruveHosp02July2024.sql |File Size: 491.11027908325195 | Site Id: ZW02030B | Status: Successful
Facility Name | Suoguru Clinic  | Database Name | Suoguru-03-July-2024.sql |File Size: 431.92290687561035 | Site Id: ZW020488 | Status: Successful
Facility Name | Masoka | Database Name | Masoka08July2024.sql |File Size: 417.9291801452637 | Site Id: ZW020801 | Status: Successful
Facility Name | Pachanza | Database Name | Pachanza-07-July-2024.sql |File Size: 403.6219005584717 | Site Id: ZW020528 | Status: Successful
Facility Name | Rosa Rural Hospital | Database Name | Rosa28June2024.sql |File Size: 399.83067417144775 | Site Id: ZW02040B | Status: Successful
Facility Name | Nyambudzi | Database Name | Nyambudzi09July2024.sql |File Size: 395.19365882873535 | Site Id: ZW020835 | Status: Successful
Facility Name | Kamutsenzere | Database Name | Kamutsenzere-07-July-2024.sql |File Size: 395.17765522003174 | Site Id: ZW020502 | Status: Successful
Facility Name | Bveke | Database Name | Bveke-09-July-2024.sql |File Size: 385.35845375061035 | Site Id: ZW020529 | Status: Successful
Facility Name | Gonono | Database Name | Gonono11July2024.sql |File Size: 373.375 | Site Id: ZW020831 | Status: Successful
Facility Name | Angwa | Database Name | Angwa08July2024.sql |File Size: 371.75069999694824 | Site Id: ZW020821 | Status: Successful
